DATE,PRICE,IMPUTED
2006-01-01,1100,1
2006-01-02,1100,1
2006-01-03,1100,1
2006-01-04,1100,1
2006-01-05,1100,1
2006-01-06,1100,1
2006-01-07,1100,1
2006-01-08,1100,1
2006-01-09,1100,1
2006-01-10,1100,1
2006-01-11,1100,1
2006-01-12,1100,1
2006-01-13,1100,1
2006-01-14,1100,1
2006-01-15,1100,1
2006-01-16,1100,1
2006-01-17,1100,1
2006-01-18,1100,1
2006-01-19,1100,1
2006-01-20,1100,1
2006-01-21,1100,0
2006-01-22,1098,1
2006-01-23,1096,1
2006-01-24,1095,0
2006-01-25,1070,0
2006-01-26,958,1
2006-01-27,1075,0
2006-01-28,1100,0
2006-01-29,1100,0
2006-01-30,1070,1
2006-01-31,1100,0
2006-02-01,1090,0
2006-02-02,1021,1
2006-02-03,1025,1
2006-02-04,1110,0
2006-02-05,1110,0
2006-02-06,1031,1
2006-02-07,1090,0
2006-02-08,1105,0
2006-02-09,1062,1
2006-02-10,1115,0
2006-02-11,1110,0
2006-02-12,1100,0
2006-02-13,1087,1
2006-02-14,1105,0
2006-02-15,1105,0
2006-02-16,1115,0
2006-02-17,1120,0
2006-02-18,1125,0
2006-02-19,1125,0
2006-02-20,1064,1
2006-02-21,1105,0
2006-02-22,1105,0
2006-02-23,1105,0
2006-02-24,1099,1
2006-02-25,1110,0
2006-02-26,1104,1
2006-02-27,1055,1
2006-02-28,1110,0
2006-03-01,1110,0
2006-03-02,1125,0
2006-03-03,1125,0
2006-03-04,1066,1
2006-03-05,1110,0
2006-03-06,1106,1
2006-03-07,1100,0
2006-03-08,1100,0
2006-03-09,1100,0
2006-03-10,1100,0
2006-03-11,1100,0
2006-03-12,1090,0
2006-03-13,1057,1
2006-03-14,1040,1
2006-03-15,1017,1
2006-03-16,1080,0
2006-03-17,1095,0
2006-03-18,1095,0
2006-03-19,1070,0
2006-03-20,1036,1
2006-03-21,1080,0
2006-03-22,1079,1
2006-03-23,1085,0
2006-03-24,1090,0
2006-03-25,1090,0
2006-03-26,1100,0
2006-03-27,1081,1
2006-03-28,1075,0
2006-03-29,1075,0
2006-03-30,1056,1
2006-03-31,1039,1
2006-04-01,1022,1
2006-04-02,1005,1
2006-04-03,989,1
2006-04-04,1065,0
2006-04-05,1065,0
2006-04-06,1029,1
2006-04-07,1095,0
2006-04-08,1105,0
2006-04-09,1105,0
2006-04-10,1092,1
2006-04-11,1064,1
2006-04-12,1064,1
2006-04-13,1064,1
2006-04-14,1064,1
2006-04-15,1140,0
2006-04-16,1145,0
2006-04-17,1075,1
2006-04-18,1140,0
2006-04-19,1140,0
2006-04-20,1150,0
2006-04-21,1130,0
2006-04-22,1180,0
2006-04-23,1180,0
2006-04-24,1069,1
2006-04-25,1200,0
2006-04-26,1191,1
2006-04-27,1200,0
2006-04-28,1215,0
2006-04-29,1240,0
2006-04-30,1240,0
2006-05-01,1105,1
2006-05-02,1200,0
2006-05-03,1225,0
2006-05-04,1228,0
2006-05-05,1210,0
2006-05-06,1230,0
2006-05-07,1200,0
2006-05-08,1080,1
2006-05-09,1215,0
2006-05-10,1230,0
2006-05-11,1240,0
2006-05-12,1290,0
2006-05-13,1290,0
2006-05-14,1260,0
2006-05-15,1187,1
2006-05-16,1240,0
2006-05-17,1230,0
2006-05-18,1183,1
2006-05-19,1240,0
2006-05-20,1170,0
2006-05-21,1190,0
2006-05-22,1250,1
2006-05-23,1198,1
2006-05-24,1198,1
2006-05-25,1215,0
2006-05-26,1200,0
2006-05-27,1190,0
2006-05-28,1211,0
2006-05-29,1206,1
2006-05-30,1199,1
2006-05-31,1195,0
2006-06-01,1165,0
2006-06-02,1169,1
2006-06-03,1165,0
2006-06-04,1170,0
2006-06-05,1196,1
2006-06-06,1180,0
2006-06-07,1150,0
2006-06-08,1180,0
2006-06-09,1140,0
2006-06-10,1155,0
2006-06-11,1145,0
2006-06-12,1119,1
2006-06-13,1180,0
2006-06-14,1170,0
2006-06-15,1170,0
2006-06-16,1175,0
2006-06-17,1165,0
2006-06-18,1150,0
2006-06-19,1157,1
2006-06-20,1150,0
2006-06-21,1150,0
2006-06-22,1170,0
2006-06-23,1160,0
2006-06-24,1160,0
2006-06-25,1150,0
2006-06-26,1150,1
2006-06-27,1115,0
2006-06-28,1155,0
2006-06-29,1180,0
2006-06-30,1170,0
2006-07-01,1160,0
2006-07-02,1155,0
2006-07-03,1178,1
2006-07-04,1150,0
2006-07-05,1145,0
2006-07-06,1150,0
2006-07-07,1154,1
2006-07-08,1145,0
2006-07-09,1150,0
2006-07-10,1164,1
2006-07-11,1160,0
2006-07-12,1175,0
2006-07-13,1160,0
2006-07-14,1185,0
2006-07-15,1212,0
2006-07-16,1220,0
2006-07-17,1206,1
2006-07-18,1210,0
2006-07-19,1095,0
2006-07-20,1140,0
2006-07-21,1197,0
2006-07-22,1180,0
2006-07-23,1171,0
2006-07-24,1131,1
2006-07-25,1167,1
2006-07-26,1170,0
2006-07-27,1165,0
2006-07-28,1162,1
2006-07-29,1190,0
2006-07-30,1160,0
2006-07-31,1141,1
2006-08-01,1166,1
2006-08-02,1166,1
2006-08-03,1166,1
2006-08-04,1166,1
2006-08-05,1166,1
2006-08-06,1166,1
2006-08-07,1166,1
2006-08-08,1166,1
2006-08-09,1166,1
2006-08-10,1166,1
2006-08-11,1166,1
2006-08-12,1166,1
2006-08-13,1166,1
2006-08-14,1166,1
2006-08-15,1166,1
2006-08-16,1166,1
2006-08-17,1166,1
2006-08-18,1166,1
2006-08-19,1166,1
2006-08-20,1166,1
2006-08-21,1166,1
2006-08-22,1166,1
2006-08-23,1166,1
2006-08-24,1166,1
2006-08-25,1166,1
2006-08-26,1166,1
2006-08-27,1166,1
2006-08-28,1166,1
2006-08-29,1166,1
2006-08-30,1166,1
2006-08-31,1166,1
2006-09-01,1165,0
2006-09-02,1165,0
2006-09-03,1166,1
2006-09-04,1166,1
2006-09-05,1166,1
2006-09-06,1160,0
2006-09-07,1160,1
2006-09-08,1155,0
2006-09-09,1140,0
2006-09-10,1070,0
2006-09-11,1085,1
2006-09-12,1120,0
2006-09-13,1105,0
2006-09-14,1120,0
2006-09-15,1135,0
2006-09-16,1105,0
2006-09-17,1130,0
2006-09-18,1166,1
2006-09-19,1144,1
2006-09-20,1115,0
2006-09-21,1130,0
2006-09-22,1125,0
2006-09-23,1113,1
2006-09-24,975,0
2006-09-25,979,1
2006-09-26,1040,0
2006-09-27,975,0
2006-09-28,1105,0
2006-09-29,990,0
2006-09-30,939,1
2006-10-01,1060,0
2006-10-02,1059,1
2006-10-03,1005,0
2006-10-04,1060,0
2006-10-05,1070,0
2006-10-06,1070,0
2006-10-07,1040,0
2006-10-08,1080,0
2006-10-09,1139,1
2006-10-10,1085,0
2006-10-11,1095,0
2006-10-12,1100,0
2006-10-13,1110,0
2006-10-14,1124,0
2006-10-15,1120,0
2006-10-16,1098,1
2006-10-17,1087,1
2006-10-18,1130,0
2006-10-19,1125,0
2006-10-20,1089,1
2006-10-21,1092,1
2006-10-22,1092,1
2006-10-23,1092,1
2006-10-24,1092,1
2006-10-25,1092,1
2006-10-26,1120,0
2006-10-27,1165,0
2006-10-28,1165,0
2006-10-29,1165,0
2006-10-30,1143,1
2006-10-31,1110,1
2006-11-01,1175,0
2006-11-02,1200,0
2006-11-03,1215,0
2006-11-04,1250,0
2006-11-05,1190,1
2006-11-06,1142,1
2006-11-07,1230,0
2006-11-08,1230,0
2006-11-09,1260,0
2006-11-10,1270,0
2006-11-11,1290,0
2006-11-12,1305,0
2006-11-13,1220,1
2006-11-14,1290,0
2006-11-15,1305,0
2006-11-16,1290,0
2006-11-17,1305,0
2006-11-18,1290,0
2006-11-19,1305,0
2006-11-20,1281,1
2006-11-21,1335,0
2006-11-22,1330,0
2006-11-23,1330,0
2006-11-24,1340,0
2006-11-25,1350,0
2006-11-26,1340,0
2006-11-27,1289,1
2006-11-28,1360,0
2006-11-29,1360,1
2006-11-30,1310,1
2006-12-01,1340,0
2006-12-02,1320,0
2006-12-03,1320,0
2006-12-04,1339,1
2006-12-05,1275,0
2006-12-06,1310,0
2006-12-07,1300,0
2006-12-08,1310,0
2006-12-09,1305,0
2006-12-10,1285,0
2006-12-11,1320,1
2006-12-12,1315,0
2006-12-13,1300,0
2006-12-14,1310,0
2006-12-15,1300,0
2006-12-16,1290,0
2006-12-17,1300,0
2006-12-18,1297,1
2006-12-19,1300,0
2006-12-20,1290,0
2006-12-21,1290,0
2006-12-22,1315,0
2006-12-23,1315,0
2006-12-24,1350,0
2006-12-25,1350,1
2006-12-26,1350,0
2006-12-27,1325,0
2006-12-28,1335,0
2006-12-29,1335,0
2006-12-30,1340,0
2006-12-31,1325,0
