DATE,PRICE,IMPUTED
2006-01-01,1060,1
2006-01-02,1060,0
2006-01-03,1068,0
2006-01-04,1076,0
2006-01-05,1070,0
2006-01-06,1060,0
2006-01-07,1065,1
2006-01-08,1065,1
2006-01-09,1087,0
2006-01-10,1085,0
2006-01-11,1101,0
2006-01-12,1104,0
2006-01-13,1100,0
2006-01-14,1097,1
2006-01-15,1095,1
2006-01-16,1090,0
2006-01-17,1106,0
2006-01-18,1094,0
2006-01-19,1089,0
2006-01-20,1085,0
2006-01-21,1096,0
2006-01-22,1096,1
2006-01-23,1096,1
2006-01-24,1096,1
2006-01-25,1101,0
2006-01-26,1101,1
2006-01-27,1096,0
2006-01-28,1096,1
2006-01-29,1096,1
2006-01-30,1090,0
2006-01-31,1096,0
2006-02-01,1095,0
2006-02-02,1095,1
2006-02-03,1093,0
2006-02-04,1093,1
2006-02-05,1093,1
2006-02-06,1093,1
2006-02-07,1093,1
2006-02-08,1106,0
2006-02-09,1110,0
2006-02-10,1120,0
2006-02-11,1120,0
2006-02-12,1120,1
2006-02-13,1117,0
2006-02-14,1119,0
2006-02-15,1113,0
2006-02-16,1112,0
2006-02-17,1120,0
2006-02-18,1123,1
2006-02-19,1122,1
2006-02-20,1125,0
2006-02-21,1128,0
2006-02-22,1118,0
2006-02-23,1115,0
2006-02-24,1116,0
2006-02-25,1113,0
2006-02-26,1113,1
2006-02-27,1110,0
2006-02-28,1112,0
2006-03-01,1110,0
2006-03-02,1111,1
2006-03-03,1120,0
2006-03-04,1121,0
2006-03-05,1120,1
2006-03-06,1118,0
2006-03-07,1125,0
2006-03-08,1118,0
2006-03-09,1113,0
2006-03-10,1124,0
2006-03-11,1108,0
2006-03-12,1108,1
2006-03-13,1101,0
2006-03-14,1101,1
2006-03-15,1101,1
2006-03-16,1095,0
2006-03-17,1095,1
2006-03-18,1095,1
2006-03-19,1095,1
2006-03-20,1092,0
2006-03-21,1095,0
2006-03-22,1090,0
2006-03-23,1106,0
2006-03-24,1095,0
2006-03-25,1097,1
2006-03-26,1096,1
2006-03-27,1099,0
2006-03-28,1099,0
2006-03-29,1099,1
2006-03-30,1099,1
2006-03-31,1099,1
2006-04-01,1099,1
2006-04-02,1099,1
2006-04-03,1099,1
2006-04-04,1090,0
2006-04-05,1091,1
2006-04-06,1091,1
2006-04-07,1091,1
2006-04-08,1091,1
2006-04-09,1091,1
2006-04-10,1091,1
2006-04-11,1091,1
2006-04-12,1091,1
2006-04-13,1091,1
2006-04-14,1091,1
2006-04-15,1091,1
2006-04-16,1091,1
2006-04-17,1091,1
2006-04-18,1091,1
2006-04-19,1091,1
2006-04-20,1091,1
2006-04-21,1091,1
2006-04-22,1091,1
2006-04-23,1091,1
2006-04-24,1091,1
2006-04-25,1207,0
2006-04-26,1207,1
2006-04-27,1207,1
2006-04-28,1207,1
2006-04-29,1207,1
2006-04-30,1207,1
2006-05-01,1239,0
2006-05-02,1252,0
2006-05-03,1259,0
2006-05-04,1202,0
2006-05-05,1233,0
2006-05-06,1233,1
2006-05-07,1233,1
2006-05-08,1230,0
2006-05-09,1231,0
2006-05-10,1257,0
2006-05-11,1230,0
2006-05-12,1270,0
2006-05-13,1275,0
2006-05-14,1276,1
2006-05-15,1277,1
2006-05-16,1265,0
2006-05-17,1265,0
2006-05-18,1266,1
2006-05-19,1259,0
2006-05-20,1246,0
2006-05-21,1247,1
2006-05-22,1247,1
2006-05-23,1247,1
2006-05-24,1240,0
2006-05-25,1241,1
2006-05-26,1242,0
2006-05-27,1246,0
2006-05-28,1245,1
2006-05-29,1249,0
2006-05-30,1249,0
2006-05-31,1239,0
2006-06-01,1227,0
2006-06-02,1228,1
2006-06-03,1219,0
2006-06-04,1220,1
2006-06-05,1229,0
2006-06-06,1244,0
2006-06-07,1218,0
2006-06-08,1226,0
2006-06-09,1224,0
2006-06-10,1227,0
2006-06-11,1226,1
2006-06-12,1225,0
2006-06-13,1226,0
2006-06-14,1227,0
2006-06-15,1229,0
2006-06-16,1226,0
2006-06-17,1217,0
2006-06-18,1218,1
2006-06-19,1212,0
2006-06-20,1193,0
2006-06-21,1199,0
2006-06-22,1221,0
2006-06-23,1225,0
2006-06-24,1196,0
2006-06-25,1195,0
2006-06-26,1206,0
2006-06-27,1185,0
2006-06-28,1190,0
2006-06-29,1183,0
2006-06-30,1185,0
2006-07-01,1184,1
2006-07-02,1184,1
2006-07-03,1190,0
2006-07-04,1175,0
2006-07-05,1157,0
2006-07-06,1148,0
2006-07-07,1175,0
2006-07-08,1170,1
2006-07-09,1170,1
2006-07-10,1186,0
2006-07-11,1183,0
2006-07-12,1185,0
2006-07-13,1190,0
2006-07-14,1191,0
2006-07-15,1190,1
2006-07-16,1191,0
2006-07-17,1229,0
2006-07-18,1228,0
2006-07-19,1225,0
2006-07-20,1216,0
2006-07-21,1217,1
2006-07-22,1217,1
2006-07-23,1217,1
2006-07-24,1217,1
2006-07-25,1187,0
2006-07-26,1184,0
2006-07-27,1189,0
2006-07-28,1188,1
2006-07-29,1187,0
2006-07-30,1187,1
2006-07-31,1187,1
2006-08-01,1187,1
2006-08-02,1187,1
2006-08-03,1187,1
2006-08-04,1187,1
2006-08-05,1187,1
2006-08-06,1187,1
2006-08-07,1187,1
2006-08-08,1187,1
2006-08-09,1187,1
2006-08-10,1187,1
2006-08-11,1187,1
2006-08-12,1187,1
2006-08-13,1187,1
2006-08-14,1187,1
2006-08-15,1187,1
2006-08-16,1187,1
2006-08-17,1187,1
2006-08-18,1187,1
2006-08-19,1187,1
2006-08-20,1187,1
2006-08-21,1187,1
2006-08-22,1187,1
2006-08-23,1187,1
2006-08-24,1187,1
2006-08-25,1187,1
2006-08-26,1187,1
2006-08-27,1187,1
2006-08-28,1187,1
2006-08-29,1187,1
2006-08-30,1187,1
2006-08-31,1187,1
2006-09-01,1187,1
2006-09-02,1187,1
2006-09-03,1187,1
2006-09-04,1168,0
2006-09-05,1170,1
2006-09-06,1170,1
2006-09-07,1170,1
2006-09-08,1178,0
2006-09-09,1176,1
2006-09-10,1176,1
2006-09-11,1159,0
2006-09-12,1157,0
2006-09-13,1155,0
2006-09-14,1149,0
2006-09-15,1150,0
2006-09-16,1150,0
2006-09-17,1149,1
2006-09-18,1137,0
2006-09-19,1131,0
2006-09-20,1100,0
2006-09-21,1120,0
2006-09-22,1127,0
2006-09-23,1125,1
2006-09-24,1125,1
2006-09-25,1100,0
2006-09-26,1116,0
2006-09-27,1114,1
2006-09-28,1128,0
2006-09-29,1135,0
2006-09-30,1133,1
2006-10-01,1133,1
2006-10-02,1133,1
2006-10-03,1133,1
